word,advertising and public relation manager,YorN,top
manag,2.69684565374428,y,
communic,2.28750300987238,,
market,2.0467132193595,,
media,1.46881772212858,y,
skill,1.17986997351312,,
work,1.15579099446183,n,
experi,1.03539609920539,n,
busi,1.03539609920539,,
develop,1.01131712015411,y,
team,0.963159162051529,,
campaign,0.963159162051529,y,
relat,0.842764266795088,,
custom,0.698290392487359,,
advertis,0.698290392487359,y,
client,0.67421141343607,,
brand,0.67421141343607,,
และ,0.650132434384782,n,
sale,0.626053455333494,,
plan,0.601974476282206,,
strategi,0.601974476282206,y,
good,0.529737539128341,n,
respons,0.529737539128341,,
compani,0.529737539128341,,
execut,0.529737539128341,y,
abil,0.529737539128341,,
year,0.505658560077053,n,
write,0.481579581025764,,
excel,0.481579581025764,,
implement,0.481579581025764,n,
ensur,0.457500601974476,n,
intern,0.457500601974476,,
oper,0.433421622923188,,
english,0.433421622923188,,
social,0.433421622923188,,
servic,0.433421622923188,,
product,0.4093426438719,,
effect,0.4093426438719,,
activ,0.4093426438719,,
onlin,0.4093426438719,y,
degre,0.385263664820612,n,
solut,0.385263664820612,,
ของ,0.361184685769323,n,
offic,0.361184685769323,,
project,0.361184685769323,,
account,0.361184685769323,,
strong,0.361184685769323,n,
ใน,0.337105706718035,n,
report,0.337105706718035,,
relationship,0.337105706718035,,
bangkok,0.337105706718035,n,
promot,0.337105706718035,y,
thai,0.337105706718035,n,
องค์กร,0.337105706718035,n,
role,0.337105706718035,n,
platform,0.337105706718035,,
drive,0.337105706718035,,
present,0.313026727666747,,
กับ,0.313026727666747,n,
ที่,0.313026727666747,n,
industri,0.313026727666747,,
requir,0.313026727666747,n,
thailand,0.313026727666747,n,
digit,0.313026727666747,y,
bachelor,0.288947748615459,n,
provid,0.288947748615459,n,
includ,0.288947748615459,n,
lead,0.288947748615459,y,
analyt,0.288947748615459,,
understand,0.288947748615459,,
opportun,0.288947748615459,,
influenc,0.288947748615459,,
event,0.288947748615459,,
public,0.288947748615459,,
qualif,0.26486876956417,n,
การ,0.26486876956417,n,
creat,0.26486876956417,,
posit,0.26486876956417,n,
perform,0.26486876956417,,
field,0.26486876956417,,
prefer,0.26486876956417,n,
creativ,0.26486876956417,,
build,0.26486876956417,,
collabor,0.26486876956417,,
data,0.26486876956417,,
facebook,0.26486876956417,y,
senior,0.240789790512882,n,
depart,0.240789790512882,n,
speak,0.240789790512882,,
budget,0.240789790512882,,
agenc,0.240789790512882,,
success,0.240789790512882,n,
corpor,0.240789790512882,n,
organ,0.240789790512882,n,
inform,0.240789790512882,,
base,0.216710811461594,,
ด้าน,0.216710811461594,n,
target,0.216710811461594,,
function,0.216710811461594,,
อย่าง,0.216710811461594,n,
maintain,0.216710811461594,n,
high,0.216710811461594,n,
abl,0.216710811461594,n,
content,0.216710811461594,y,
updat,0.216710811461594,,
time,0.216710811461594,n,
grow,0.216710811461594,,
revenu,0.216710811461594,,
improv,0.192631832410306,,
optim,0.192631832410306,n,
close,0.192631832410306,n,
knowledg,0.192631832410306,,
handl,0.192631832410306,,
การสื่อสาร,0.192631832410306,y,
commerci,0.192631832410306,,
sell,0.192631832410306,,
support,0.192631832410306,,
consum,0.192631832410306,,
engag,0.192631832410306,n,
task,0.168552853359017,n,
problem,0.168552853359017,,
เพื่อ,0.168552853359017,n,
ให้,0.168552853359017,n,
มี,0.168552853359017,n,
month,0.168552853359017,n,
monitor,0.168552853359017,,
program,0.168552853359017,,
ฝ่าย,0.168552853359017,n,
การตลาด,0.168552853359017,,
extern,0.168552853359017,,
environ,0.168552853359017,,
nation,0.168552853359017,n,
point,0.168552853359017,n,
สื่อสาร,0.168552853359017,,
analyz,0.168552853359017,y,
googl,0.168552853359017,,
issu,0.168552853359017,,
result,0.168552853359017,,
direct,0.168552853359017,y,
automot,0.168552853359017,,
career,0.168552853359017,,
meet,0.144473874307729,,
need,0.144473874307729,n,
solv,0.144473874307729,,
ต่างๆ,0.144473874307729,n,
จัดทำ,0.144473874307729,,
email,0.144473874307729,,
head,0.144473874307729,,
resourc,0.144473874307729,,
achiev,0.144473874307729,,
goal,0.144473874307729,,
command,0.144473874307729,,
ประชาสัมพันธ์,0.144473874307729,y,
interperson,0.144473874307729,,
identifi,0.144473874307729,,
expect,0.144473874307729,,
recruit,0.144473874307729,n,
websit,0.144473874307729,,
languag,0.144473874307729,,
profici,0.144473874307729,n,
global,0.144473874307729,,
consult,0.144473874307729,,
word,0.144473874307729,n,
partner,0.144473874307729,,
applic,0.144473874307729,n,
initi,0.144473874307729,,
relev,0.144473874307729,n,
beverag,0.144473874307729,,
multipl,0.144473874307729,n,
press,0.144473874307729,,
coordin,0.120394895256441,,
order,0.120394895256441,,
ผู้จัดการ,0.120394895256441,y,
วิเคราะห์,0.120394895256441,,
ประสานงาน,0.120394895256441,,
ลูกค้า,0.120394895256441,,
ดี,0.120394895256441,n,
administr,0.120394895256441,y,
measur,0.120394895256441,,
cost,0.120394895256441,,
track,0.120394895256441,n,
salari,0.120394895256441,,
exist,0.120394895256441,n,
overse,0.120394895256441,,
director,0.120394895256441,y,
process,0.120394895256441,,
establish,0.120394895256441,n,
food,0.120394895256441,,
pharmaceut,0.120394895256441,n,
higher,0.120394895256441,n,
softwar,0.120394895256441,n,
leadership,0.120394895256441,y,
person,0.120394895256441,,
offlin,0.120394895256441,n,
strateg,0.120394895256441,y,
orient,0.120394895256441,n,
tower,0.120394895256441,n,
floor,0.120394895256441,n,
สัมพันธ์,0.120394895256441,,
สื่อ,0.120394895256441,y,
trade,0.120394895256441,n,
interview,0.120394895256441,n,
power,0.120394895256441,n,
local,0.120394895256441,,
insight,0.120394895256441,,
effici,0.120394895256441,,
duti,0.120394895256441,,
hotel,0.120394895256441,,
innov,0.120394895256441,,
associ,0.120394895256441,,
exhibit,0.120394895256441,,
verbal,0.120394895256441,,
news,0.120394895256441,,
articl,0.120394895256441,,
