word,business service and admin manager,YorN
manag,2.46360582306831,y
busi,1.51175811870101,
client,1.45576707726764,
งาน,1.39977603583427,n
และ,1.3437849944009,n
offic,1.00783874580067,
การ,0.951847704367301,n
administr,0.951847704367301,y
servic,0.951847704367301,y
oper,0.895856662933931,
develop,0.895856662933931,y
skill,0.895856662933931,n
compani,0.83986562150056,
abil,0.783874580067189,n
ensur,0.671892497200448,
team,0.671892497200448,
ที่,0.671892497200448,n
provid,0.671892497200448,n
work,0.615901455767077,n
ของ,0.615901455767077,n
โครงการ,0.615901455767077,
organ,0.615901455767077,n
communic,0.559910414333707,
plan,0.559910414333707,
perform,0.559910414333707,
activ,0.559910414333707,
ให้,0.503919372900336,n
custom,0.447928331466965,
ใน,0.447928331466965,n
มี,0.447928331466965,n
maintain,0.447928331466965,
strong,0.447928331466965,n
strategi,0.447928331466965,y
procedur,0.447928331466965,
implement,0.447928331466965,
ด้าน,0.391937290033595,n
project,0.391937290033595,
ดูแล,0.391937290033595,
industri,0.391937290033595,n
effect,0.391937290033595,
account,0.391937290033595,
opportun,0.391937290033595,
profit,0.391937290033595,
improv,0.335946248600224,y
ควบคุม,0.335946248600224,
report,0.335946248600224,
function,0.335946248600224,
monitor,0.335946248600224,
excel,0.335946248600224,
travel,0.335946248600224,
motiv,0.335946248600224,
coordin,0.279955207166853,
experi,0.279955207166853,n
good,0.279955207166853,n
ตำแหน่ง,0.279955207166853,n
ตรวจสอบ,0.279955207166853,
ปฏิบัติงาน,0.279955207166853,n
ได้,0.279955207166853,n
กำหนด,0.279955207166853,
พนักงาน,0.279955207166853,n
relationship,0.279955207166853,
process,0.279955207166853,
polici,0.279955207166853,
level,0.279955207166853,n
review,0.279955207166853,
benefit,0.279955207166853,
การบริหาร,0.279955207166853,y
เ,0.279955207166853,n
เละ,0.279955207166853,n
demonstr,0.279955207166853,
ดู,0.279955207166853,n
เเล,0.279955207166853,n
qualif,0.223964165733483,n
relat,0.223964165733483,
ผู้จัดการ,0.223964165733483,y
หน่วยงาน,0.223964165733483,n
เพื่อ,0.223964165733483,n
ติดตาม,0.223964165733483,
จัดทำ,0.223964165733483,n
ทักษะ,0.223964165733483,n
cost,0.223964165733483,
อย่าง,0.223964165733483,n
includ,0.223964165733483,n
อื่นๆ,0.223964165733483,n
high,0.223964165733483,n
general,0.223964165733483,
thailand,0.223964165733483,n
strateg,0.223964165733483,y
ภายใน,0.223964165733483,y
องค์กร,0.223964165733483,n
success,0.223964165733483,
analyz,0.223964165733483,y
บุคลากร,0.223964165733483,
corpor,0.223964165733483,n
time,0.223964165733483,n
facil,0.223964165733483,
support,0.223964165733483,y
direct,0.223964165733483,y
chang,0.223964165733483,n
group,0.223964165733483,
conduct,0.223964165733483,
solut,0.223964165733483,y
อาคาร,0.223964165733483,y
product,0.167973124300112,
market,0.167973124300112,n
depart,0.167973124300112,
present,0.167973124300112,
write,0.167973124300112,
control,0.167973124300112,
วิเคราะห์,0.167973124300112,y
ตาม,0.167973124300112,n
ประสานงาน,0.167973124300112,y
กับ,0.167973124300112,n
ต่างๆ,0.167973124300112,n
technolog,0.167973124300112,
ดี,0.167973124300112,n
ความรับผิดชอบ,0.167973124300112,
รับมอบหมาย,0.167973124300112,
prepar,0.167973124300112,
เป็นไปตาม,0.167973124300112,n
overse,0.167973124300112,
ประจำ,0.167973124300112,n
director,0.167973124300112,y
lead,0.167973124300112,y
increas,0.167973124300112,
intern,0.167973124300112,
requir,0.167973124300112,
achiev,0.167973124300112,
prove,0.167973124300112,
program,0.167973124300112,
ไว้,0.167973124300112,n
assist,0.167973124300112,
accur,0.167973124300112,
extern,0.167973124300112,
financi,0.167973124300112,
contact,0.167973124300112,
handl,0.167973124300112,
assign,0.167973124300112,
coach,0.167973124300112,
identifi,0.167973124300112,
environ,0.167973124300112,
candid,0.167973124300112,
กิจกรรม,0.167973124300112,
แผนงาน,0.167973124300112,
บริหาร,0.167973124300112,y
ศึกษา,0.167973124300112,
updat,0.167973124300112,
secur,0.167973124300112,
vendor,0.167973124300112,
contract,0.167973124300112,
issu,0.167973124300112,
employe,0.167973124300112,
valu,0.167973124300112,
inform,0.167973124300112,
system,0.167973124300112,
ทั้งหมด,0.167973124300112,n
board,0.167973124300112,
effici,0.167973124300112,
maximum,0.167973124300112,
data,0.167973124300112,
organiz,0.167973124300112,n
drive,0.167973124300112,
peopl,0.167973124300112,
necessari,0.167973124300112,
โครง,0.167973124300112,n
specif,0.167973124300112,
object,0.167973124300112,
maxim,0.167973124300112,
task,0.111982082866741,n
strict,0.111982082866741,
detail,0.111982082866741,
order,0.111982082866741,
need,0.111982082866741,n
year,0.111982082866741,n
negoti,0.111982082866741,
problem,0.111982082866741,
english,0.111982082866741,
บริษัท,0.111982082866741,n
เกี่ยวข้อง,0.111982082866741,n
จัดการ,0.111982082866741,
สาขา,0.111982082866741,n
หรือ,0.111982082866741,n
โดย,0.111982082866741,n
ส่ง,0.111982082866741,n
รายงาน,0.111982082866741,
measur,0.111982082866741,
creat,0.111982082866741,
จัด,0.111982082866741,n
ต่อ,0.111982082866741,n
ธุรการ,0.111982082866741,
descript,0.111982082866741,n
exist,0.111982082866741,
เงินเดือน,0.111982082866741,
ตามที่,0.111982082866741,n
overal,0.111982082866741,
continu,0.111982082866741,
goal,0.111982082866741,
minimum,0.111982082866741,
field,0.111982082866741,
execut,0.111982082866741,
analyt,0.111982082866741,y
command,0.111982082866741,
ประชาสัมพันธ์,0.111982082866741,
budget,0.111982082866741,
knowledg,0.111982082866741,
leadership,0.111982082866741,y
bangkok,0.111982082866741,
person,0.111982082866741,
fast,0.111982082866741,n
pace,0.111982082866741,n
thai,0.111982082866741,n
submit,0.111982082866741,
expect,0.111982082866741,
packag,0.111982082866741,
recruit,0.111982082866741,n
floor,0.111982082866741,n
road,0.111982082866741,n
ดำเนิน,0.111982082866741,
ส่งเสริม,0.111982082866741,
ได้ดี,0.111982082866741,n
ทีมงาน,0.111982082866741,
การควบคุม,0.111982082866741,
ความปลอดภัย,0.111982082866741,
ทรัพย์สิน,0.111982082866741,y
รวมทั้ง,0.111982082866741,n
มอบหมาย,0.111982082866741,n
ปี,0.111982082866741,n
ขึ้นไป,0.111982082866741,n
รวมถึง,0.111982082866741,n
พัฒนา,0.111982082866741,y
ออกแบบ,0.111982082866741,
เหมาะสม,0.111982082866741,
deliv,0.111982082866741,
ระบบ,0.111982082866741,
ภายนอก,0.111982082866741,
word,0.111982082866741,n
ต่อเนื่อง,0.111982082866741,n
งบประมาณ,0.111982082866741,
owner,0.111982082866741,
ร่วมกับ,0.111982082866741,
วิธีการ,0.111982082866741,
partner,0.111982082866741,
individu,0.111982082866741,
resolv,0.111982082866741,
purchas,0.111982082866741,
confidenti,0.111982082866741,
applic,0.111982082866741,
complex,0.111982082866741,
special,0.111982082866741,
translat,0.111982082866741,
member,0.111982082866741,
comprehens,0.111982082866741,
complianc,0.111982082866741,
staff,0.111982082866741,
build,0.111982082866741,
เรียบร้อย,0.111982082866741,n
signific,0.111982082866741,
sharehold,0.111982082866741,
properti,0.111982082866741,
ดำเนินงาน,0.111982082866741,n
smooth,0.111982082866741,n
attent,0.111982082866741,n
mind,0.111982082866741,n
profil,0.111982082866741,
สรรหา,0.111982082866741,n
follow,0.111982082866741,
defin,0.111982082866741,
alloc,0.111982082866741,
facilit,0.111982082866741,
agre,0.111982082866741,
procur,0.111982082866741,
public,0.111982082866741,
liais,0.111982082866741,n
save,0.111982082866741,n
add,0.111982082866741,n
organis,0.111982082866741,
similar,0.111982082866741,n
verbal,0.111982082866741,
streamlin,0.111982082866741,
พหลโยธิน,0.111982082866741,n
display,0.111982082866741,
guidanc,0.111982082866741,
แก้ไข,0.111982082866741,
การงาน,0.111982082866741,n
growth,0.111982082866741,
way,0.111982082866741,
feedback,0.111982082866741,
ง,0.111982082866741,n
divis,0.111982082866741,
clean,0.111982082866741,
newslett,0.111982082866741,
confer,0.111982082866741,
introduct,0.111982082866741,
indirect,0.111982082866741,
พน,0.111982082866741,n
minimis,0.111982082866741,
abreast,0.111982082866741,
coupl,0.111982082866741,
booker,0.111982082866741,
