word,cooker + bartender,YorN
ได้,2.48823133826496,n
และ,2.15198386012105,n
ที่,1.37861466039005,n
สามารถ,1.35339609952925,n
ใน,1.25252185608608,n
อาหาร,1.12642905178211,y
ครัว,1.10121049092132,y
ทำงาน,0.941492938802959,n
สาขา,0.907868190988568,n
งาน,0.85743106926698,n
ของ,0.748150638870208,n
พนักงาน,0.748150638870208,n
ให้,0.722932078009415,n
กุ๊ก,0.722932078009415,y
มี,0.714525891055817,n
ดูแล,0.697713517148621,
เป็น,0.66408876933423,n
การ,0.655682582380632,n
วัตถุดิบ,0.638870208473436,y
อย่าง,0.613651647612643,n
food,0.580026899798251,y
วัน,0.54640215198386,n
ปี,0.529589778076664,n
ขึ้นไป,0.529589778076664,n
ร้าน,0.512777404169469,
ตาม,0.504371217215871,n
ประจำ,0.495965030262273,
ตำแหน่ง,0.487558843308675,n
ผู้ช่วย,0.487558843308675,
บริการ,0.487558843308675,
ดี,0.479152656355077,n
รับมอบหมาย,0.479152656355077,
อื่นๆ,0.470746469401479,n
chef,0.462340282447882,y
cook,0.445527908540686,y
ลูกค้า,0.42871553463349,
คุณสมบัติ,0.42871553463349,n
ภายใน,0.420309347679892,
ทำอาหาร,0.395090786819099,y
ต่างๆ,0.386684599865501,n
จัดเตรียม,0.386684599865501,
บาท,0.386684599865501,n
ประกอบอาหาร,0.378278412911903,y
อายุ,0.369872225958305,n
เตรียม,0.35305985205111,
ตามที่,0.336247478143914,n
หญิง,0.336247478143914,n
ชั่วโมง,0.319435104236718,n
หน้าที่,0.31102891728312,n
กะ,0.31102891728312,
เครื่องดื่ม,0.31102891728312,y
ความสะอาด,0.302622730329522,
ไทย,0.302622730329522,n
เพศชาย,0.294216543375925,n
prepar,0.294216543375925,
ใช้,0.285810356422327,n
ไม่,0.285810356422327,n
หัวหน้างาน,0.285810356422327,
จะ,0.268997982515131,n
พนักงานประจำ,0.268997982515131,
time,0.268997982515131,n
ร้านอาหาร,0.260591795561533,y
standard,0.252185608607935,
ควบคุม,0.252185608607935,
ปฏิบัติงาน,0.252185608607935,n
จัด,0.252185608607935,n
ม,0.252185608607935,n
ติดต่อ,0.243779421654337,n
เมนู,0.243779421654337,y
kitchen,0.243779421654337,y
อุปกรณ์,0.23537323470074,
นำ,0.23537323470074,n
รับสมัคร,0.23537323470074,n
ด้าน,0.226967047747142,n
เป็นพิเศษ,0.226967047747142,n
ทำ,0.226967047747142,n
เวลา,0.226967047747142,n
manag,0.218560860793544,
คุณ,0.218560860793544,n
มาตรฐาน,0.218560860793544,
เรื่อง,0.218560860793544,n
servic,0.218560860793544,
คุณภาพ,0.218560860793544,
work,0.210154673839946,n
กับ,0.210154673839946,n
มา,0.210154673839946,n
เดือน,0.210154673839946,n
เชฟ,0.210154673839946,y
หรือ,0.201748486886348,n
กำหนด,0.201748486886348,n
มีประสบการณ์,0.201748486886348,n
การทำงาน,0.201748486886348,n
พิจารณา,0.201748486886348,n
เดอะ,0.201748486886348,n
พ่อครัว,0.201748486886348,y
ความรับผิดชอบ,0.19334229993275,
requir,0.19334229993275,n
สำหรับ,0.19334229993275,
assist,0.19334229993275,
ensur,0.184936112979153,
ต่อ,0.184936112979153,n
จาก,0.184936112979153,n
รับผิดชอบ,0.184936112979153,
เกี่ยวกับ,0.184936112979153,n
วุฒิ,0.184936112979153,n
จันทร์,0.184936112979153,n
ทำความสะอาด,0.184936112979153,
maintain,0.176529926025555,
เซ็นทรัล,0.176529926025555,
เวลาทำงาน,0.176529926025555,n
ศุกร์,0.176529926025555,n
สูตร,0.176529926025555,y
ปรุงอาหาร,0.176529926025555,y
การประกอบอาหาร,0.176529926025555,y
product,0.168123739071957,
ต้อง,0.168123739071957,n
ใจรัก,0.168123739071957,n
ค่า,0.168123739071957,
ร้านกาแฟ,0.168123739071957,
บริษัท,0.159717552118359,
เพื่อ,0.159717552118359,n
ได้รับ,0.159717552118359,n
อยู่,0.159717552118359,n
บางนา,0.159717552118359,n
ญี่ปุ่น,0.159717552118359,
ชั้น,0.151311365164761,n
จำกัด,0.151311365164761,
เลือก,0.151311365164761,
สัปดาห์,0.151311365164761,n
พิซซ่า,0.151311365164761,
oper,0.142905178211163,
ผู้สมัคร,0.142905178211163,n
สินค้า,0.142905178211163,
ให้บริการ,0.142905178211163,
ความ,0.142905178211163,n
ทันที,0.142905178211163,n
ด่วน,0.142905178211163,n
staff,0.142905178211163,
true,0.142905178211163,n
culinari,0.142905178211163,y
qualiti,0.134498991257566,
รับ,0.134498991257566,
ตรวจ,0.134498991257566,
เริ่ม,0.134498991257566,n
บาง,0.134498991257566,n
คอม,0.134498991257566,n
ปะ,0.134498991257566,n
นี,0.134498991257566,n
พนักงานชั่วคราว,0.134498991257566,
แตง,0.134498991257566,
procedur,0.134498991257566,
เรียบร้อย,0.134498991257566,
experi,0.126092804303968,n
control,0.126092804303968,
สวัสดิการ,0.126092804303968,n
execut,0.126092804303968,
รวมถึง,0.126092804303968,n
ความเข้าใจ,0.126092804303968,n
employe,0.126092804303968,
เข้างาน,0.126092804303968,
barista,0.126092804303968,y
ยุโรป,0.126092804303968,
custom,0.11768661735037,
communic,0.11768661735037,
นโยบาย,0.11768661735037,
มีความรู้,0.11768661735037,
ถูกต้อง,0.11768661735037,
includ,0.11768661735037,n
แผนก,0.11768661735037,n
วุฒิการศึกษา,0.11768661735037,n
ร่วมกับ,0.11768661735037,
area,0.11768661735037,n
restaur,0.11768661735037,y
ออกมา,0.11768661735037,
present,0.109280430396772,
จัดการ,0.109280430396772,
ทาง,0.109280430396772,n
พร้อม,0.109280430396772,n
บริษัทฯ,0.109280430396772,n
สุขภาพ,0.109280430396772,
ขนม,0.109280430396772,y
need,0.100874243443174,n
relat,0.100874243443174,n
ตรวจสอบ,0.100874243443174,
ช่วย,0.100874243443174,
ประจำปี,0.100874243443174,n
equip,0.100874243443174,
perform,0.100874243443174,
parti,0.100874243443174,n
high,0.100874243443174,n
ภายใต้,0.100874243443174,
รักษา,0.100874243443174,
ชอบ,0.100874243443174,n
บริหาร,0.100874243443174,
ต้นทุน,0.100874243443174,
guest,0.100874243443174,
ปริมาณ,0.100874243443174,
follow,0.100874243443174,
หัวหน้า,0.100874243443174,n
