word,coordinator low skill,YorN
และ,2.38980010251153,n
งาน,1.3070220399795,n
เอกสาร,1.26217324449001,y
ประสานงาน,1.14684777037417,y
ที่,1.14044079958995,n
ได้,1.03792926704254,n
การ,0.858534085084572,n
ต่างๆ,0.832906201947719,n
ใน,0.832906201947719,n
ของ,0.800871348026653,n
ข้อมูล,0.781650435674013,
ตำแหน่ง,0.749615581752947,n
กับ,0.743208610968734,n
จัดทำ,0.647104049205536,n
รับมอบหมาย,0.615069195284469,
ติดต่อ,0.615069195284469,
manag,0.608662224500256,
ดูแล,0.583034341363403,
ให้,0.563813429010764,n
administr,0.563813429010764,
work,0.55740645822655,n
offic,0.550999487442337,
ภายใน,0.525371604305484,
เจ้าหน้าที่,0.512557662737058,n
อื่นๆ,0.506150691952845,n
บริษัท,0.499743721168631,
มี,0.499743721168631,n
assist,0.493336750384418,y
ลูกค้า,0.486929779600205,
ด้าน,0.467708867247565,n
support,0.448487954894926,y
meet,0.442080984110712,y
ธุรการ,0.403639159405433,y
compani,0.403639159405433,n
document,0.39723218862122,y
เกี่ยวข้อง,0.371604305484367,n
requir,0.371604305484367,n
coordin,0.35879036391594,y
skill,0.35879036391594,
relat,0.345976422347514,n
ตามที่,0.339569451563301,n
ฝ่าย,0.333162480779088,n
ทำงาน,0.326755509994874,n
communic,0.313941568426448,
เพื่อ,0.313941568426448,n
provid,0.313941568426448,n
experi,0.301127626858021,n
สามารถ,0.301127626858021,n
good,0.294720656073808,n
หน่วยงาน,0.294720656073808,n
prepar,0.281906714505382,
ทั่วไป,0.281906714505382,
ภายนอก,0.275499743721169,
admiss,0.275499743721169,
english,0.269092772936955,
ดี,0.269092772936955,n
ตรวจสอบ,0.262685802152742,
ทำ,0.262685802152742,n
พนักงาน,0.262685802152742,n
รับ,0.262685802152742,n
ทั้ง,0.262685802152742,n
รับผิดชอบ,0.262685802152742,
secretari,0.262685802152742,y
school,0.262685802152742,
year,0.256278831368529,n
maintain,0.256278831368529,
execut,0.256278831368529,
ผู้บริหาร,0.256278831368529,
จัดเก็บ,0.249871860584316,y
คีย์,0.249871860584316,y
servic,0.249871860584316,
องค์กร,0.243464889800102,n
task,0.237057919015889,n
report,0.237057919015889,y
project,0.237057919015889,
เป็น,0.237057919015889,n
applic,0.237057919015889,
ensur,0.230650948231676,
หรือ,0.230650948231676,n
excel,0.224243977447463,
การประสานงาน,0.224243977447463,y
includ,0.21783700666325,n
organ,0.21783700666325,n
ตาม,0.211430035879036,n
สาขา,0.211430035879036,
สินค้า,0.211430035879036,
ปี,0.211430035879036,n
ระบบ,0.211430035879036,
ใช้,0.205023065094823,n
รายงาน,0.205023065094823,y
busi,0.205023065094823,n
จัด,0.205023065094823,
อย่าง,0.205023065094823,n
ประจำ,0.205023065094823,
วัน,0.205023065094823,n
custom,0.19861609431061,
ส่ง,0.19861609431061,
person,0.19861609431061,
เลขานุการ,0.19861609431061,y
จาก,0.192209123526397,n
thai,0.192209123526397,n
board,0.192209123526397,
team,0.185802152742184,
thailand,0.185802152742184,
ติดตาม,0.17939518195797,
ขาย,0.17939518195797,
บริการ,0.17939518195797,
assign,0.17939518195797,
handl,0.172988211173757,
แผนก,0.172988211173757,n
ด่วน,0.172988211173757,n
งานเอกสาร,0.172988211173757,y
ธุร,0.172988211173757,y
contact,0.166581240389544,n
admin,0.166581240389544,
senior,0.160174269605331,
จัดการ,0.160174269605331,
bangkok,0.160174269605331,n
เรื่อง,0.160174269605331,n
สำนักงาน,0.160174269605331,n
รับสมัคร,0.160174269605331,n
arrang,0.160174269605331,
ทาง,0.153767298821117,n
month,0.153767298821117,
time,0.153767298821117,
inform,0.153767298821117,
oper,0.140953357252691,
sale,0.140953357252691,
ออก,0.140953357252691,n
บันทึก,0.140953357252691,y
respons,0.140953357252691,
intern,0.140953357252691,
นัดหมาย,0.140953357252691,y
การประชุม,0.140953357252691,y
qualif,0.134546386468478,n
bachelor,0.134546386468478,n
degre,0.134546386468478,n
โครงการ,0.134546386468478,
ทักษะ,0.134546386468478,n
ความรับผิดชอบ,0.134546386468478,
ต่อ,0.134546386468478,n
สรุป,0.134546386468478,
materi,0.134546386468478,
จัดเตรียม,0.134546386468478,
บริษัทฯ,0.134546386468478,n
schedul,0.134546386468478,y
insur,0.134546386468478,
member,0.134546386468478,
data,0.134546386468478,
duti,0.134546386468478,
chapter,0.134546386468478,
ปฏิบัติงาน,0.128139415684264,
หน้าที่,0.128139415684264,
director,0.128139415684264,
perform,0.128139415684264,
การทำงาน,0.128139415684264,n
เวลา,0.128139415684264,
updat,0.128139415684264,
staff,0.128139415684264,
event,0.128139415684264,
product,0.121732444900051,
write,0.121732444900051,
control,0.121732444900051,
จ่าย,0.121732444900051,n
พนักงานธุรการ,0.121732444900051,y
ฝ่ายขาย,0.121732444900051,
field,0.121732444900051,
general,0.121732444900051,
รายละเอียด,0.121732444900051,n
ไม่,0.121732444900051,n
strong,0.121732444900051,n
file,0.121732444900051,
relev,0.121732444900051,n
depart,0.115325474115838,
present,0.115325474115838,
แก่,0.115325474115838,n
record,0.115325474115838,y
น,0.115325474115838,n
corpor,0.115325474115838,y
issu,0.115325474115838,
เบิก,0.108918503331625,
process,0.108918503331625,
activ,0.108918503331625,
การตลาด,0.108918503331625,
ความ,0.108918503331625,n
abl,0.108918503331625,n
จันทร์,0.108918503331625,n
benefit,0.108918503331625,
direct,0.108918503331625,
order,0.102511532547411,
ภาษาอังกฤษ,0.102511532547411,
plan,0.102511532547411,
salari,0.102511532547411,
supplier,0.102511532547411,
point,0.102511532547411,
procedur,0.102511532547411,
follow,0.102511532547411,
