word,credit analyst,YorN
ลูกค้า,4.14134593742967,
สินเชื่อ,3.44361917623228,y
และ,3.21854602745892,n
ของ,2.63335584064821,n
ที่,2.47580463650686,n
การ,1.91312176457349,n
ใน,1.89061444969615,n
ให้,1.62052667116813,n
สาขา,1.46297546702678,n
เพื่อ,1.44046815214945,n
ด้าน,1.35043889264011,n
งาน,1.12536574386676,n
เจ้าหน้าที่,1.03533648435742,n
วิเคราะห์,0.990321854602746,y
บริการ,0.990321854602746,
ตรวจสอบ,0.92279990997074,y
กำหนด,0.92279990997074,
กับ,0.855277965338735,n
มี,0.810263335584065,n
พื้นที่,0.810263335584065,
เอกสาร,0.765248705829394,
ให้บริการ,0.765248705829394,
ข้อมูล,0.742741390952059,
รับ,0.720234076074724,
ขาย,0.697726761197389,
การตลาด,0.630204816565384,
ตำแหน่ง,0.607697501688049,n
ตาม,0.607697501688049,n
ติดตาม,0.585190186810713,
ทาง,0.585190186810713,n
ชำระ,0.585190186810713,
ธุรกิจ,0.562682871933378,n
ผลิตภัณฑ์,0.562682871933378,
ธนาคาร,0.562682871933378,
ประจำ,0.540175557056043,n
ค่างวด,0.540175557056043,y
การพิจารณา,0.517668242178708,y
รับผิดชอบ,0.495160927301373,n
เครดิต,0.495160927301373,y
นาโน,0.450146297546703,
บริษัท,0.427638982669367,n
นำเสนอ,0.427638982669367,
ออก,0.405131667792032,
ขยาย,0.405131667792032,
ฐาน,0.405131667792032,
ได้,0.382624352914697,n
ส่งเสริม,0.382624352914697,
กิจกรรม,0.382624352914697,
ความสัมพันธ์,0.382624352914697,
การอนุมัติ,0.382624352914697,y
ดี,0.360117038037362,n
จาก,0.360117038037362,n
ขอ,0.360117038037362,n
คุณภาพ,0.360117038037362,n
ความเสี่ยง,0.360117038037362,
อื่นๆ,0.337609723160027,n
แต่ละ,0.337609723160027,n
ประสานงาน,0.315102408282692,
ชำระหนี้,0.315102408282692,y
ต่างๆ,0.292595093405357,n
แก่,0.292595093405357,n
ไว้,0.292595093405357,n
บริหาร,0.292595093405357,
เกิน,0.292595093405357,n
หลักเกณฑ์,0.292595093405357,y
เช่าซื้อ,0.292595093405357,
ใหม่,0.270087778528022,n
จัดทำ,0.270087778528022,
จะ,0.270087778528022,n
ใช้,0.270087778528022,n
โดย,0.270087778528022,n
รับมอบหมาย,0.270087778528022,n
แนะนำ,0.270087778528022,
รถจักรยานยนต์,0.270087778528022,
ใบเสร็จ,0.270087778528022,
หนี้เสีย,0.270087778528022,y
สา,0.270087778528022,n
ขออนุมัติ,0.270087778528022,y
เกี่ยวข้อง,0.247580463650686,n
คุณสมบัติ,0.247580463650686,n
โทรศัพท์,0.247580463650686,
ตามที่,0.247580463650686,n
เสนอ,0.247580463650686,n
สถานประกอบการ,0.247580463650686,
ตรง,0.225073148773351,n
ตามกำหนด,0.225073148773351,n
หรือ,0.225073148773351,n
สมัคร,0.225073148773351,n
ปฏิบัติงาน,0.225073148773351,n
รักษา,0.225073148773351,n
ปี,0.225073148773351,n
ค่าบริการ,0.225073148773351,
ปัจจุบัน,0.225073148773351,n
credit,0.202565833896016,y
ความสามารถ,0.202565833896016,n
ติดต่อ,0.202565833896016,n
การเงิน,0.202565833896016,
ด่วน,0.202565833896016,n
ประเมิน,0.202565833896016,y
เบื้องต้น,0.202565833896016,n
หน่วยงาน,0.180058519018681,n
รายละเอียด,0.180058519018681,n
เป็น,0.180058519018681,n
การทำงาน,0.180058519018681,n
เวลา,0.180058519018681,n
วัน,0.180058519018681,n
portfolio,0.180058519018681,n
เดือน,0.180058519018681,n
บรรลุเป้าหมาย,0.180058519018681,
ไฟแนนซ์,0.180058519018681,
ขาประจำ,0.180058519018681,
บัตรเครดิต,0.180058519018681,y
รายย่อย,0.180058519018681,
offic,0.157551204141346,
ทำ,0.157551204141346,n
มา,0.157551204141346,n
ภายใต้,0.157551204141346,
คำแนะนำ,0.157551204141346,
จัดเตรียม,0.157551204141346,
รวมทั้ง,0.157551204141346,n
ก่อน,0.157551204141346,n
ไป,0.157551204141346,n
รถ,0.157551204141346,
agreement,0.157551204141346,
นัดหมาย,0.157551204141346,
ที่มา,0.157551204141346,n
ไทย,0.157551204141346,n
จังหวัด,0.157551204141346,n
ระเบียบ,0.157551204141346,
ถึง,0.157551204141346,n
บัตร,0.157551204141346,
ลูกค้าประจำ,0.157551204141346,
ความดูแล,0.157551204141346,n
คำนึงถึง,0.157551204141346,n
การชำระหนี้,0.157551204141346,y
นโยบาย,0.135043889264011,
วงเงิน,0.135043889264011,y
ผู้สมัคร,0.135043889264011,n
ได้รับ,0.135043889264011,n
เช่น,0.135043889264011,n
จัด,0.135043889264011,n
พนักงาน,0.135043889264011,n
สัญญา,0.135043889264011,y
เป้าหมาย,0.135043889264011,
เกี่ยวกับ,0.135043889264011,
ตลาด,0.135043889264011,
สร้าง,0.135043889264011,n
ไม่,0.135043889264011,n
ขึ้นไป,0.135043889264011,n
ตลอดจน,0.135043889264011,n
ลง,0.135043889264011,n
รถยนต์,0.135043889264011,
พบ,0.135043889264011,n
ละ,0.135043889264011,n
ตามเวลา,0.135043889264011,
หัวหน้างาน,0.135043889264011,
จ,0.135043889264011,n
ท่า,0.135043889264011,n
ระดับ,0.112536574386676,n
ทักษะ,0.112536574386676,n
ต้อง,0.112536574386676,n
ส่ง,0.112536574386676,
เงิน,0.112536574386676,
ผู้,0.112536574386676,n
เงินเดือน,0.112536574386676,
สนับสนุน,0.112536574386676,
เริ่ม,0.112536574386676,n
ศูนย์,0.112536574386676,n
เงินสด,0.112536574386676,
ใบ,0.112536574386676,
ภายใน,0.112536574386676,
อายุ,0.112536574386676,n
นำ,0.112536574386676,n
สัมภาษณ์,0.112536574386676,
ประกัน,0.112536574386676,y
พิจารณา,0.112536574386676,y
เสนอขาย,0.112536574386676,
ระบบ,0.112536574386676,
เป้า,0.112536574386676,
สอบถาม,0.112536574386676,
เพิ่มเติม,0.112536574386676,n
เมือง,0.112536574386676,n
เป็นหลัก,0.112536574386676,n
choic,0.112536574386676,
