word,education manager,YorN
และ,5.81395348837209,n
ประถมศึกษา,4.65116279069768,y
มัธยมศึกษา,4.65116279069768,y
ระดับ,3.48837209302326,n
ได้,3.48837209302326,n
ติดต่อ,3.48837209302326,
งานวิจัย,3.48837209302326,y
ประสานงาน,2.32558139534884,
ด้าน,2.32558139534884,n
สามารถ,2.32558139534884,n
การศึกษา,2.32558139534884,y
ตรวจ,2.32558139534884,n
ด่วน,2.32558139534884,n
เขียน,2.32558139534884,
ผู้เขียน,2.32558139534884,
บรรณาธิการ,2.32558139534884,
อนุบาล,2.32558139534884,y
ผู้จัดการ,1.16279069767442,y
เจ้าหน้าที่,1.16279069767442,n
วิเคราะห์,1.16279069767442,y
กับ,1.16279069767442,n
เพื่อ,1.16279069767442,n
ปริญญาโท,1.16279069767442,y
ภา,1.16279069767442,n
มาตรฐาน,1.16279069767442,
ทั้ง,1.16279069767442,n
สาย,1.16279069767442,n
จาก,1.16279069767442,n
น,1.16279069767442,n
ภายใน,1.16279069767442,
กลุ่ม,1.16279069767442,n
กิจกรรม,1.16279069767442,
องค์กร,1.16279069767442,n
นอก,1.16279069767442,n
อบรม,1.16279069767442,
ภาษาไทย,1.16279069767442,
สรรหา,1.16279069767442,
มาก,1.16279069767442,n
ผู้ตรวจ,1.16279069767442,
หลักสูตร,1.16279069767442,y
ประสาน,1.16279069767442,
ผู้ใต้บังคับบัญชา,1.16279069767442,
งานติดต่อ,1.16279069767442,
วิชาการ,1.16279069767442,y
ครู,1.16279069767442,y
วิทยากร,1.16279069767442,y
ขั้นพื้นฐาน,1.16279069767442,y
ฉบับ,1.16279069767442,
สถาบันการศึกษา,1.16279069767442,y
สำ,1.16279069767442,n
หนังสือเรียน,1.16279069767442,y
ปฐมวัย,1.16279069767442,y
นักวิชาการ,1.16279069767442,y
สาระ,1.16279069767442,
กองบรรณาธิการ,1.16279069767442,
แกนกลาง,1.16279069767442,
กระทรวงศึกษาธิการ,1.16279069767442,y
ปกครอง,1.16279069767442,
