word,finance manager,YorN
account,2.10905065042901,y
manag,2.09797951840576,y
และ,1.54995848325491,n
financi,1.23443122059231,y
การ,1.01854414613894,n
work,0.935510655964572,n
report,0.907832825906449,
busi,0.852477165790202,y
financ,0.846941599778577,y
experi,0.819263769720454,n
ตรวจสอบ,0.808192637697204,
ให้,0.79158593966233,n
บัญชี,0.769443675615832,y
ที่,0.714088015499585,n
compani,0.714088015499585,n
year,0.62551895931359,n
skill,0.564627733185718,n
ของ,0.548021035150844,n
ensur,0.542485469139219,
good,0.536949903127595,n
prepar,0.487129809022973,
process,0.487129809022973,
develop,0.481594243011348,y
relat,0.481594243011348,
team,0.476058676999723,
ใน,0.476058676999723,n
จัดทำ,0.464987544976474,n
control,0.431774148906726,y
intern,0.426238582895101,
รายงาน,0.420703016883476,
กับ,0.409631884860227,n
audit,0.404096318848602,y
provid,0.393025186825353,n
month,0.393025186825353,n
degre,0.381954054802103,n
analysi,0.381954054802103,y
respons,0.381954054802103,
oper,0.365347356767229,
มี,0.365347356767229,n
plan,0.359811790755605,
support,0.359811790755605,
perform,0.35427622474398,
เอกสาร,0.343205092720731,
english,0.332133960697481,
qualif,0.326598394685857,n
credit,0.326598394685857,y
monitor,0.326598394685857,
cash,0.326598394685857,y
depart,0.321062828674232,n
requir,0.309991696650983,n
budget,0.309991696650983,y
risk,0.309991696650983,y
close,0.304456130639358,
strong,0.304456130639358,n
cost,0.298920564627733,y
project,0.287849432604484,
การเงิน,0.287849432604484,y
bank,0.287849432604484,
bachelor,0.282313866592859,n
knowledg,0.282313866592859,
product,0.27124273456961,
sale,0.27124273456961,y
ควบคุม,0.265707168557985,
forecast,0.265707168557985,y
thailand,0.26017160254636,n
ด้าน,0.254636036534736,n
abl,0.254636036534736,n
custom,0.249100470523111,
applic,0.249100470523111,
communic,0.243564904511486,
งาน,0.243564904511486,n
lead,0.243564904511486,
offic,0.238029338499862,
ได้,0.238029338499862,n
includ,0.238029338499862,n
เงินสด,0.238029338499862,
time,0.238029338499862,
function,0.232493772488237,
กำหนด,0.232493772488237,
เงิน,0.226958206476612,
statement,0.221422640464987,
thai,0.221422640464987,n
salari,0.215887074453363,
review,0.215887074453363,
abil,0.210351508441738,
field,0.204815942430113,
high,0.204815942430113,n
ระบบ,0.204815942430113,
level,0.204815942430113,
เพื่อ,0.199280376418489,n
assist,0.199280376418489,
candid,0.199280376418489,n
collect,0.199280376418489,
maintain,0.193744810406864,
flow,0.193744810406864,
polici,0.193744810406864,
opportun,0.193744810406864,
excel,0.193744810406864,
write,0.188209244395239,
posit,0.188209244395239,n
activ,0.188209244395239,
bangkok,0.188209244395239,n
procedur,0.188209244395239,
implement,0.188209244395239,
market,0.182673678383615,y
บริษัท,0.182673678383615,n
จ่าย,0.182673678383615,n
servic,0.182673678383615,
complianc,0.182673678383615,
อย่าง,0.17713811237199,n
document,0.17713811237199,
จาก,0.17713811237199,n
prefer,0.17713811237199,
trade,0.17713811237199,
ยอด,0.171602546360365,
ดูแล,0.171602546360365,y
extern,0.171602546360365,
เกี่ยวข้อง,0.166066980348741,n
command,0.166066980348741,
accur,0.166066980348741,
submit,0.166066980348741,
resum,0.166066980348741,n
payment,0.166066980348741,
improv,0.160531414337116,y
coordin,0.160531414337116,
บันทึก,0.160531414337116,
งบการเงิน,0.160531414337116,y
role,0.160531414337116,n
ผู้จัดการ,0.154995848325491,y
ความถูกต้อง,0.154995848325491,
ตรวจ,0.154995848325491,
effect,0.154995848325491,
assign,0.154995848325491,
client,0.154995848325491,
ภาษี,0.154995848325491,y
inform,0.154995848325491,
ครบถ้วน,0.154995848325491,
ธนาคาร,0.154995848325491,
standard,0.149460282313867,
present,0.149460282313867,
วิเคราะห์,0.149460282313867,y
asset,0.149460282313867,y
leadership,0.149460282313867,y
contact,0.149460282313867,
strateg,0.149460282313867,y
advanc,0.149460282313867,
detail,0.143924716302242,
ประสานงาน,0.143924716302242,
ต่างๆ,0.143924716302242,n
relationship,0.143924716302242,
master,0.143924716302242,
แผนก,0.143924716302242,n
interest,0.143924716302242,
staff,0.143924716302242,
group,0.143924716302242,
revenu,0.143924716302242,
advantag,0.143924716302242,
relev,0.143924716302242,
แทน,0.143924716302242,n
need,0.138389150290617,n
speak,0.138389150290617,n
general,0.138389150290617,
term,0.138389150290617,
expect,0.138389150290617,
recruit,0.138389150290617,n
road,0.138389150290617,n
transact,0.138389150290617,y
result,0.138389150290617,
auditor,0.138389150290617,
สาขา,0.132853584278992,n
ส่ง,0.132853584278992,
ข้อมูล,0.132853584278992,
understand,0.132853584278992,n
data,0.132853584278992,
meet,0.127318018267368,
problem,0.127318018267368,
current,0.127318018267368,
ถูกต้อง,0.127318018267368,
รับ,0.127318018267368,
industri,0.127318018267368,n
record,0.127318018267368,
analyz,0.127318018267368,y
local,0.127318018267368,
appli,0.127318018267368,
unit,0.127318018267368,
decis,0.127318018267368,y
ติดตาม,0.121782452255743,
สามารถ,0.121782452255743,n
annual,0.121782452255743,
อื่นๆ,0.121782452255743,n
handl,0.121782452255743,y
updat,0.121782452255743,
reconcili,0.121782452255743,
นับ,0.121782452255743,n
senior,0.116246886244118,n
ลูกค้า,0.116246886244118,
execut,0.116246886244118,y
identifi,0.116246886244118,
ปี,0.116246886244118,n
ต้นทุน,0.116246886244118,y
corpor,0.116246886244118,n
regul,0.116246886244118,n
send,0.116246886244118,
manufactur,0.110711320232494,
ไว้,0.110711320232494,n
invest,0.110711320232494,y
benefit,0.110711320232494,
direct,0.110711320232494,
แคชเชียร์,0.110711320232494,n
loan,0.110711320232494,y
บัตรเครดิต,0.110711320232494,y
เซฟ,0.110711320232494,
ตำแหน่ง,0.105175754220869,n
descript,0.105175754220869,n
overse,0.105175754220869,
analyt,0.105175754220869,y
femal,0.105175754220869,n
nation,0.105175754220869,n
balanc,0.105175754220869,y
issu,0.105175754220869,n
organ,0.105175754220869,n
conduct,0.105175754220869,
limit,0.105175754220869,
