word,marketing,YorN
market,2.74630653494063,y
และ,2.54690474032448,n
การตลาด,1.4275355750929,y
การ,1.09670987038883,n
ใน,0.919967370615426,n
ที่,0.90637179370978,n
ของ,0.802139037433155,n
sale,0.765884165684764,
ลูกค้า,0.693374422187982,
กับ,0.652587691471041,n
manag,0.638992114565395,
เพื่อ,0.593673524879906,n
custom,0.57554608900571,
ขาย,0.571014230037161,
plan,0.561950512100063,
work,0.552886794162966,n
experi,0.525695640351672,n
develop,0.521163781383123,
busi,0.521163781383123,n
งาน,0.512100063446026,n
digit,0.512100063446026,
team,0.498504486540379,
ได้,0.498504486540379,n
communic,0.49397262757183,
ให้,0.480377050666183,n
campaign,0.480377050666183,y
skill,0.471313332729086,n
มี,0.457717755823439,n
onlin,0.457717755823439,y
media,0.439590319949243,y
ด้าน,0.435058460980694,n
execut,0.430526602012145,
ต่างๆ,0.425994743043596,n
product,0.403335448200852,
ทาง,0.403335448200852,n
brand,0.389739871295205,y
good,0.380676153358107,n
ดูแล,0.380676153358107,n
relat,0.376144294389559,
year,0.362548717483912,n
social,0.358016858515363,
strategi,0.348953140578265,
บริษัท,0.339889422641167,n
ประสานงาน,0.339889422641167,
สินค้า,0.339889422641167,
วิเคราะห์,0.335357563672618,
หรือ,0.335357563672618,n
วางแผน,0.321761986766972,
support,0.303634550892776,
compani,0.299102691924227,n
ตำแหน่ง,0.285507115018581,n
offic,0.280975256050032,
สามารถ,0.280975256050032,n
activ,0.280975256050032,
ออนไลน์,0.280975256050032,y
ข้อมูล,0.280975256050032,
สื่อ,0.280975256050032,y
english,0.276443397081483,
perform,0.271911538112934,
data,0.271911538112934,
promot,0.267379679144385,y
report,0.258315961207287,
จัดทำ,0.253784102238738,n
field,0.253784102238738,
content,0.253784102238738,
degre,0.249252243270189,n
ดี,0.249252243270189,n
อื่นๆ,0.249252243270189,n
coordin,0.240188525333092,
เกี่ยวข้อง,0.240188525333092,n
ใหม่,0.240188525333092,n
สาขา,0.240188525333092,n
research,0.235656666364543,
สร้าง,0.231124807395994,n
qualif,0.226592948427445,
ตาม,0.226592948427445,n
requir,0.226592948427445,n
ensur,0.222061089458896,n
เจ้าหน้าที่,0.222061089458896,
client,0.222061089458896,
ส่งเสริม,0.222061089458896,
bachelor,0.212997371521798,n
servic,0.208465512553249,
present,0.2039336535847,
เป็น,0.2039336535847,n
ติดตาม,0.199401794616151,
อย่าง,0.199401794616151,n
websit,0.199401794616151,
strong,0.199401794616151,n
provid,0.194869935647603,n
กลยุทธ์,0.194869935647603,y
project,0.190338076679054,
design,0.190338076679054,
channel,0.190338076679054,y
excel,0.190338076679054,
ใช้,0.185806217710505,n
ติดต่อ,0.185806217710505,
analyt,0.185806217710505,
ฝ่าย,0.176742499773407,n
trend,0.176742499773407,y
ปี,0.176742499773407,n
กิจกรรม,0.176742499773407,
ยอดขาย,0.176742499773407,y
องค์กร,0.176742499773407,n
ทั้ง,0.172210640804858,n
maintain,0.172210640804858,
ประชาสัมพันธ์,0.172210640804858,y
facebook,0.172210640804858,
รับมอบหมาย,0.167678781836309,
prepar,0.167678781836309,
creat,0.167678781836309,
relationship,0.167678781836309,
includ,0.167678781836309,n
respons,0.167678781836309,n
intern,0.167678781836309,n
inform,0.167678781836309,
event,0.167678781836309,
ทำ,0.16314692286776,n
target,0.16314692286776,
ทีม,0.16314692286776,
posit,0.158615063899211,n
ช่องทาง,0.158615063899211,
พัฒนา,0.158615063899211,
จาก,0.154083204930662,n
มีประสบการณ์,0.154083204930662,n
thai,0.154083204930662,n
write,0.149551345962114,
line,0.149551345962114,
ตลาด,0.149551345962114,y
แผน,0.149551345962114,
advertis,0.149551345962114,y
lead,0.145019486993565,
account,0.145019486993565,
agenc,0.145019486993565,
bangkok,0.145019486993565,n
creativ,0.145019486993565,
รับผิดชอบ,0.140487628025016,n
โฆษณา,0.140487628025016,y
implement,0.140487628025016,
drive,0.140487628025016,
depart,0.135955769056467,n
optim,0.135955769056467,
candid,0.135955769056467,n
understand,0.135955769056467,
consum,0.135955769056467,
analysi,0.131423910087918,
assign,0.131423910087918,
เป้าหมาย,0.131423910087918,
การทำงาน,0.131423910087918,n
abl,0.131423910087918,n
applic,0.131423910087918,
โปรโมชั่น,0.131423910087918,y
ผ่าน,0.126892051119369,n
salari,0.126892051119369,n
effect,0.126892051119369,
monitor,0.126892051119369,
resum,0.126892051119369,n
คิด,0.126892051119369,n
เช่น,0.12236019215082,n
contact,0.12236019215082,n
ๆ,0.12236019215082,n
analyz,0.12236019215082,y
จัดการ,0.117828333182271,
บริการ,0.117828333182271,
command,0.117828333182271,
assist,0.117828333182271,
person,0.117828333182271,
ธุรกิจ,0.117828333182271,n
หา,0.117828333182271,n
opportun,0.117828333182271,
time,0.117828333182271,
oper,0.113296474213722,
ความรับผิดชอบ,0.113296474213722,n
month,0.113296474213722,n
budget,0.113296474213722,
abil,0.113296474213722,
จัดกิจกรรม,0.113296474213722,
ผลิตภัณฑ์,0.113296474213722,
level,0.113296474213722,
competitor,0.113296474213722,
partner,0.113296474213722,
task,0.108764615245174,n
order,0.108764615245174,
รายงาน,0.108764615245174,
วาง,0.108764615245174,n
ทำงาน,0.108764615245174,n
ภายใน,0.108764615245174,
insur,0.108764615245174,
build,0.108764615245174,
หน่วยงาน,0.104232756276625,n
ทักษะ,0.104232756276625,n
achiev,0.104232756276625,
male,0.104232756276625,n
identifi,0.104232756276625,y
การสื่อสาร,0.104232756276625,
price,0.104232756276625,
