word,sale and marketing manager,YorN
sale,2.67966725760262,y
market,2.38988135824356,y
manag,2.35578889949543,y
และ,1.26483021955543,n
custom,1.19323605618437,
busi,1.09095867994,n
develop,1.08073094231556,y
team,0.913677894449748,
plan,0.893222419200873,y
experi,0.87617618982681,n
product,0.818219009954998,
work,0.739806354834311,n
strategi,0.640938224464748,y
skill,0.620482749215873,n
compani,0.589799536342561,n
year,0.586390290467748,n
การ,0.579571798718124,n
ขาย,0.521614618846311,y
execut,0.456838947224874,y
relat,0.450020455475249,
communic,0.446611209600436,
ensur,0.436383471975999,
ของ,0.412518750852311,n
activ,0.412518750852311,
ใน,0.392063275603436,n
strong,0.385244783853811,n
good,0.381835537978999,n
ให้,0.381835537978999,n
brand,0.381835537978999,
channel,0.375017046229374,
requir,0.371607800354562,n
ลูกค้า,0.368198554479749,y
perform,0.364789308604937,
ที่,0.361380062730124,n
provid,0.354561570980499,n
report,0.354561570980499,
promot,0.351152325105687,y
target,0.347743079230874,y
campaign,0.340924587481249,y
servic,0.337515341606437,
degre,0.334106095731624,n
english,0.327287603981999,
opportun,0.320469112232374,
trade,0.320469112232374,
achiev,0.317059866357562,
qualif,0.313650620482749,n
lead,0.313650620482749,y
การตลาด,0.313650620482749,y
field,0.303422882858312,
กับ,0.300013636983499,n
respons,0.293195145233874,n
support,0.289785899359062,
implement,0.289785899359062,
digit,0.282967407609437,
relationship,0.279558161734624,
maintain,0.276148915859812,
thailand,0.269330424110187,n
drive,0.269330424110187,
industri,0.265921178235374,n
intern,0.265921178235374,
build,0.265921178235374,
project,0.262511932360562,
account,0.262511932360562,
media,0.262511932360562,
bachelor,0.259102686485749,n
client,0.259102686485749,
ได้,0.255693440610937,n
abil,0.255693440610937,
social,0.255693440610937,
effect,0.252284194736124,
oper,0.245465702986499,
budget,0.225010227737624,
bangkok,0.225010227737624,n
growth,0.225010227737624,
present,0.221600981862812,
กำหนด,0.221600981862812,n
applic,0.221600981862812,
เพื่อ,0.218191735987999,n
includ,0.218191735987999,n
salari,0.214782490113187,n
process,0.214782490113187,
identifi,0.214782490113187,
งาน,0.211373244238374,n
strateg,0.211373244238374,y
offic,0.207963998363562,
assist,0.207963998363562,
abl,0.207963998363562,n
สินค้า,0.204554752488749,
solut,0.197736260739124,
monitor,0.194327014864312,
high,0.194327014864312,n
assign,0.194327014864312,
understand,0.194327014864312,n
excel,0.194327014864312,
ดูแล,0.190917768989499,
บริหาร,0.190917768989499,y
data,0.190917768989499,
base,0.184099277239874,
posit,0.184099277239874,n
contact,0.184099277239874,
improv,0.180690031365062,y
มี,0.180690031365062,n
candid,0.180690031365062,n
need,0.17728078549025,
person,0.17728078549025,
thai,0.17728078549025,n
วิเคราะห์,0.173871539615437,y
knowledg,0.173871539615437,
coordin,0.170462293740625,
creat,0.170462293740625,
goal,0.170462293740625,
direct,0.170462293740625,
object,0.170462293740625,
analyz,0.167053047865812,y
depart,0.163643801991,n
prepar,0.163643801991,
term,0.163643801991,
เป้าหมาย,0.163643801991,
level,0.163643801991,n
inform,0.163643801991,
write,0.160234556116187,
วางแผน,0.160234556116187,y
partner,0.160234556116187,
role,0.160234556116187,n
control,0.156825310241375,
success,0.156825310241375,
analysi,0.153416064366562,y
current,0.153416064366562,
function,0.153416064366562,
analyt,0.153416064366562,y
time,0.153416064366562,
ตาม,0.15000681849175,
minimum,0.15000681849175,
result,0.15000681849175,
initi,0.15000681849175,
recruit,0.146597572616937,n
websit,0.146597572616937,
organ,0.146597572616937,n
order,0.143188326742125,
ด้าน,0.143188326742125,n
onlin,0.143188326742125,y
close,0.143188326742125,n
follow,0.143188326742125,
exist,0.139779080867312,
ยอดขาย,0.139779080867312,y
profit,0.139779080867312,y
บริษัท,0.1363698349925,n
ต่างๆ,0.1363698349925,n
line,0.1363698349925,
food,0.1363698349925,n
prefer,0.1363698349925,
train,0.1363698349925,
price,0.1363698349925,
event,0.1363698349925,
retail,0.1363698349925,
meet,0.132960589117687,
month,0.132960589117687,n
increas,0.132960589117687,
trend,0.132960589117687,
area,0.132960589117687,
categori,0.132960589117687,
negoti,0.129551343242875,
สามารถ,0.129551343242875,n
บริการ,0.129551343242875,
อย่าง,0.129551343242875,n
command,0.129551343242875,
evalu,0.129551343242875,
ควบคุม,0.126142097368062,
motiv,0.126142097368062,
ใหม่,0.12273285149325,n
establish,0.12273285149325,
ข้อมูล,0.12273285149325,
action,0.12273285149325,
share,0.12273285149325,
senior,0.119323605618437,n
speak,0.119323605618437,n
materi,0.119323605618437,
submit,0.119323605618437,n
expect,0.119323605618437,
road,0.119323605618437,n
creativ,0.119323605618437,
sell,0.119323605618437,y
competit,0.119323605618437,
align,0.115914359743625,
nation,0.115914359743625,
local,0.115914359743625,
benefit,0.115914359743625,
prospect,0.115914359743625,
email,0.112505113868812,
รับผิดชอบ,0.112505113868812,
insight,0.112505113868812,
revenu,0.112505113868812,
advertis,0.112505113868812,
locat,0.109095867994,n
descript,0.109095867994,n
ฝ่าย,0.109095867994,n
ปี,0.109095867994,n
consum,0.109095867994,
research,0.105686622119187,
ตำแหน่ง,0.105686622119187,n
สาขา,0.105686622119187,n
administr,0.105686622119187,
forecast,0.105686622119187,
optim,0.105686622119187,
resum,0.105686622119187,n
พัฒนา,0.105686622119187,y
ทีม,0.105686622119187,
updat,0.105686622119187,
technic,0.105686622119187,
interest,0.105686622119187,
potenti,0.105686622119187,
problem,0.102277376244375,
ทาง,0.102277376244375,n
design,0.102277376244375,
tower,0.102277376244375,
distributor,0.102277376244375,
