word,tour guider,YorN
มัคคุเทศก์,8,y
และ,5.33333333333333,n
อัตรา,5.33333333333333,n
ค่าตอบแทน,5.33333333333333,n
ผู้ช่วย,4,
ตาม,2.66666666666667,n
ที่,2.66666666666667,n
ลูกค้า,2.66666666666667,
ได้,2.66666666666667,n
รับมอบหมาย,2.66666666666667,n
ให้บริการ,2.66666666666667,
อื่นๆ,2.66666666666667,n
สำหรับ,2.66666666666667,n
พร้อม,2.66666666666667,n
วัน,2.66666666666667,n
กิจกรรม,2.66666666666667,
บาท,2.66666666666667,n
ปฏิบัติหน้าที่,2.66666666666667,n
ขั้นต่ำ,2.66666666666667,n
สต๊าฟ,2.66666666666667,
ความสามารถพิเศษ,2.66666666666667,n
ไกด์,2.66666666666667,y
กับ,1.33333333333333,n
ต่างๆ,1.33333333333333,n
อำนวยความสะดวก,1.33333333333333,
ให้,1.33333333333333,n
สามารถ,1.33333333333333,n
ดูแล,1.33333333333333,n
แก่,1.33333333333333,n
ข้อมูล,1.33333333333333,
เป็น,1.33333333333333,n
นำ,1.33333333333333,n
ความปลอดภัย,1.33333333333333,
entertain,1.33333333333333,
ทัวร์,1.33333333333333,y
วิทยากร,1.33333333333333,
เบื้องหลัง,1.33333333333333,
พิธีกร,1.33333333333333,
เวที,1.33333333333333,
เตรียมงาน,1.33333333333333,
นำเที่ยว,1.33333333333333,y
cheer,1.33333333333333,
